Record:;0
YOffset:;-1.180000e+02
YMult:;4.000000e-04
YZero:;0.000000e+00
XIncr:;1.000000e-02
XZero:;-1.860000e+01
XUnit:;s
YUnit:;Volts
  310;-1.551000e+01;1.480000e-02
  311;-1.550000e+01;1.520000e-02
  312;-1.549000e+01;1.480000e-02
  313;-1.548000e+01;1.440000e-02
  314;-1.547000e+01;1.400000e-02
  315;-1.546000e+01;1.400000e-02
  316;-1.545000e+01;1.480000e-02
  317;-1.544000e+01;1.400000e-02
  318;-1.543000e+01;1.520000e-02
  319;-1.542000e+01;1.440000e-02
  320;-1.541000e+01;1.560000e-02
  321;-1.540000e+01;1.400000e-02
  322;-1.539000e+01;1.720000e-02
  323;-1.538000e+01;1.440000e-02
  324;-1.537000e+01;1.320000e-02
  325;-1.536000e+01;1.600000e-02
  326;-1.535000e+01;1.360000e-02
  327;-1.534000e+01;1.440000e-02
  328;-1.533000e+01;1.400000e-02
  329;-1.532000e+01;1.480000e-02
  330;-1.531000e+01;1.600000e-02
  331;-1.530000e+01;1.440000e-02
  332;-1.529000e+01;1.360000e-02
  333;-1.528000e+01;1.520000e-02
  334;-1.527000e+01;1.600000e-02
  335;-1.526000e+01;1.320000e-02
  336;-1.525000e+01;1.440000e-02
  337;-1.524000e+01;1.480000e-02
  338;-1.523000e+01;1.440000e-02
  339;-1.522000e+01;1.520000e-02
  340;-1.521000e+01;1.480000e-02
  341;-1.520000e+01;1.400000e-02
  342;-1.519000e+01;1.480000e-02
  343;-1.518000e+01;1.520000e-02
  344;-1.517000e+01;1.480000e-02
  345;-1.516000e+01;1.480000e-02
  346;-1.515000e+01;1.480000e-02
  347;-1.514000e+01;1.520000e-02
  348;-1.513000e+01;1.480000e-02
  349;-1.512000e+01;1.600000e-02
  350;-1.511000e+01;1.360000e-02
  351;-1.510000e+01;1.480000e-02
  352;-1.509000e+01;1.440000e-02
  353;-1.508000e+01;1.480000e-02
  354;-1.507000e+01;1.400000e-02
  355;-1.506000e+01;1.560000e-02
  356;-1.505000e+01;1.480000e-02
  357;-1.504000e+01;1.520000e-02
  358;-1.503000e+01;1.520000e-02
  359;-1.502000e+01;1.320000e-02
  360;-1.501000e+01;1.480000e-02
  361;-1.500000e+01;1.480000e-02
  362;-1.499000e+01;1.560000e-02
  363;-1.498000e+01;1.360000e-02
  364;-1.497000e+01;1.560000e-02
  365;-1.496000e+01;1.440000e-02
  366;-1.495000e+01;1.400000e-02
  367;-1.494000e+01;1.480000e-02
  368;-1.493000e+01;1.520000e-02
  369;-1.492000e+01;1.560000e-02
  370;-1.491000e+01;1.440000e-02
  371;-1.490000e+01;1.360000e-02
  372;-1.489000e+01;1.520000e-02
  373;-1.488000e+01;1.480000e-02
  374;-1.487000e+01;1.480000e-02
  375;-1.486000e+01;1.400000e-02
  376;-1.485000e+01;1.480000e-02
  377;-1.484000e+01;1.440000e-02
  378;-1.483000e+01;1.400000e-02
  379;-1.482000e+01;1.520000e-02
  380;-1.481000e+01;1.560000e-02
  381;-1.480000e+01;1.560000e-02
  382;-1.479000e+01;1.400000e-02
  383;-1.478000e+01;1.400000e-02
  384;-1.477000e+01;1.480000e-02
  385;-1.476000e+01;1.480000e-02
  386;-1.475000e+01;1.520000e-02
  387;-1.474000e+01;1.440000e-02
  388;-1.473000e+01;1.360000e-02
  389;-1.472000e+01;1.640000e-02
  390;-1.471000e+01;1.400000e-02
  391;-1.470000e+01;1.480000e-02
  392;-1.469000e+01;1.560000e-02
  393;-1.468000e+01;1.520000e-02
  394;-1.467000e+01;1.560000e-02
  395;-1.466000e+01;1.520000e-02
  396;-1.465000e+01;1.640000e-02
  397;-1.464000e+01;1.800000e-02
